[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:17] 🚀 DUELING DOUBLE DQN + DUAL HEAD TRAINING
[2026-01-12 01:43:17]    Device: cuda
[2026-01-12 01:43:17]    Action Size: 8, Duration Size: 6
[2026-01-12 01:43:17]    Loss: action_loss + 0.2 * duration_loss
[2026-01-12 01:43:17]    Layer: 3, MaxSize: 2048, LR: 0.001
[2026-01-12 01:43:17]    Log File: DDDQN_DualHead_log_lr_0_001_L3_S2048.txt
[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:19] 
📊 Training started at 01:43:19
[2026-01-12 01:43:19] ------------------------------------------------------------
[2026-01-12 01:43:21] [Ep   100] Goal:   0 | Seg: 0 | ε: 0.852 | Reward:   -203.8 | A_Loss: 0.000 | D_Loss: 0.000 | Speed: 50.7 ep/s | Avg Speed:  37.52 km/h | Time: 01:43:21
[2026-01-12 01:43:24] [Ep   200] Goal:   0 | Seg: 0 | ε: 0.724 | Reward:   -205.3 | A_Loss: 42.492 | D_Loss: 41.656 | Speed: 28.8 ep/s | Avg Speed:  37.22 km/h | Time: 01:43:24
[2026-01-12 01:43:27] 
★★★ Segment 0 학습 완료! (Episode: 260) ★★★

[2026-01-12 01:43:28] [Ep   300] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -200.8 | A_Loss: 32.915 | D_Loss: 32.411 | Speed: 27.6 ep/s | Avg Speed:  40.44 km/h | Time: 01:43:28
[2026-01-12 01:43:31] [Ep   400] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -205.1 | A_Loss: 30.064 | D_Loss: 29.911 | Speed: 31.2 ep/s | Avg Speed:  39.07 km/h | Time: 01:43:31
[2026-01-12 01:43:34] [Ep   500] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -203.2 | A_Loss: 29.125 | D_Loss: 29.104 | Speed: 29.8 ep/s | Avg Speed:  42.32 km/h | Time: 01:43:34
[2026-01-12 01:43:38] [Ep   600] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -201.5 | A_Loss: 27.047 | D_Loss: 27.114 | Speed: 29.1 ep/s | Avg Speed:  44.79 km/h | Time: 01:43:38
[2026-01-12 01:43:41] [Ep   700] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -199.7 | A_Loss: 26.634 | D_Loss: 26.766 | Speed: 27.9 ep/s | Avg Speed:  44.45 km/h | Time: 01:43:41
[2026-01-12 01:43:45] [Ep   800] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -203.9 | A_Loss: 25.985 | D_Loss: 26.184 | Speed: 29.3 ep/s | Avg Speed:  41.13 km/h | Time: 01:43:45
[2026-01-12 01:43:48] [Ep   900] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -205.9 | A_Loss: 26.036 | D_Loss: 26.355 | Speed: 31.5 ep/s | Avg Speed:  37.84 km/h | Time: 01:43:48
[2026-01-12 01:43:51] [Ep  1000] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -205.5 | A_Loss: 25.737 | D_Loss: 26.036 | Speed: 33.4 ep/s | Avg Speed:  38.29 km/h | Time: 01:43:51
[2026-01-12 01:43:54] [Ep  1100] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -205.7 | A_Loss: 25.790 | D_Loss: 26.189 | Speed: 30.5 ep/s | Avg Speed:  38.43 km/h | Time: 01:43:54
[2026-01-12 01:43:58] [Ep  1200] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -204.5 | A_Loss: 25.151 | D_Loss: 25.591 | Speed: 30.8 ep/s | Avg Speed:  38.94 km/h | Time: 01:43:58
[2026-01-12 01:44:02] [Ep  1300] Goal:   0 | Seg: 1 | ε: 0.806 | Reward:   -180.2 | A_Loss: 25.302 | D_Loss: 25.575 | Speed: 22.0 ep/s | Avg Speed:  55.72 km/h | Time: 01:44:02
[2026-01-12 01:44:08] [Ep  1400] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -139.5 | A_Loss: 23.408 | D_Loss: 23.940 | Speed: 16.1 ep/s | Avg Speed:  71.51 km/h | Time: 01:44:08
[2026-01-12 01:44:12] [Ep  1500] Goal:   0 | Seg: 1 | ε: 0.626 | Reward:   -178.9 | A_Loss: 25.888 | D_Loss: 25.897 | Speed: 27.1 ep/s | Avg Speed:  57.38 km/h | Time: 01:44:12
[2026-01-12 01:44:16] [Ep  1600] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -155.7 | A_Loss: 27.447 | D_Loss: 27.160 | Speed: 25.1 ep/s | Avg Speed:  65.83 km/h | Time: 01:44:16
